id,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
264,108-88-3,110-80-5
265,108-88-3,67-56-1
266,108-88-3
267,108-88-3,60-29-7,7732-18-5
268,123-91-1
269,108-88-3
270,108-88-3,60-29-7,7732-18-5
271,67-56-1,108-88-3
272,109-99-9
273,71-43-2
274,108-88-3
275,108-88-3
276,123-91-1
277,109-99-9
278,109-99-9
279,123-91-1
280,108-88-3
281,108-87-2
282,123-91-1
283,123-91-1
284,109-99-9,68-12-2
285,127-19-5
286,110-71-4,5614-37-9
287,109-99-9,68-12-2
288,110-82-7,127-19-5
289,75-05-8
290,108-88-3
291,108-88-3
292,109-99-9,127-19-5
293,108-88-3
294,75-05-8,127-19-5
295,109-99-9
296,64-17-5
297,64-17-5
298,64-17-5
299,64-17-5
300,64-17-5
301,108-88-3,109-99-9
302,127-19-5
303,108-88-3
304,67-56-1,108-88-3
305,108-88-3
306,108-88-3,60-29-7,7732-18-5
307,108-88-3
308,67-56-1,108-88-3
309,67-56-1
310,68-12-2,7732-18-5
311,108-88-3,109-99-9
312,108-88-3
313,108-88-3,7732-18-5
314,108-88-3,7732-18-5
315,108-88-3,7732-18-5
316,123-91-1
317,123-91-1
318,123-91-1
319,123-91-1
320,1076-43-3
321,108-88-3
322,109-99-9
323,123-91-1
324,109-99-9,68-12-2
325,109-99-9,127-19-5
326,110-82-7,127-19-5
327,110-82-7,127-19-5
328,109-99-9,68-12-2
329,109-99-9,68-12-2
330,127-19-5,7732-18-5
331,872-50-4
332,68-12-2
333,123-91-1
334,123-91-1
335,75-05-8
336,108-88-3
337,108-88-3
338,108-88-3
339,108-88-3,7732-18-5
340,108-88-3,110-82-7
341,109-99-9,110-54-3
342,60-29-7,109-99-9
343,109-99-9
344,108-88-3
345,108-88-3
346,108-88-3
347,64-17-5
348,64-17-5
349,64-17-5
350,64-17-5
351,64-17-5
352,64-17-5
353,64-17-5
354,108-88-3,109-99-9
355,108-88-3,7732-18-5
356,108-88-3,110-80-5
357,108-88-3,110-80-5
358,109-99-9
359,75-05-8
360,108-88-3,110-80-5
361,108-88-3
362,108-88-3,60-29-7,7732-18-5
363,108-88-3
364,108-88-3
365,109-99-9
366,108-88-3,7732-18-5
367,108-88-3,7732-18-5
368,100-66-3,7732-18-5
369,108-88-3,7732-18-5
370,108-88-3
371,108-88-3
372,108-88-3
373,123-91-1
374,123-91-1
375,109-99-9,127-19-5
376,123-91-1
377,123-91-1
378,108-87-2
379,123-91-1
380,123-91-1
381,123-91-1
382,109-99-9,127-19-5,7732-18-5
383,109-99-9,68-12-2
384,110-82-7,127-19-5
385,110-71-4,5614-37-9
386,109-99-9,68-12-2
387,872-50-4
388,96-47-9,872-50-4
389,123-91-1
390,67-68-5
391,108-88-3
392,109-99-9
393,108-88-3
394,108-88-3
395,108-88-3
396,64-17-5
397,64-17-5
398,64-17-5
399,64-17-5
400,64-17-5
401,67-56-1,108-88-3,75-09-2
402,123-91-1
403,67-56-1,108-88-3,75-09-2
404,108-88-3
405,67-56-1,108-88-3
406,108-88-3
407,123-91-1
408,123-91-1
409,109-99-9
410,108-88-3
411,109-99-9
412,109-99-9
413,123-91-1
414,123-91-1
415,123-91-1
416,123-91-1
417,7226-23-5
418,109-99-9
419,109-99-9
420,109-99-9
421,123-91-1
422,75-05-8
423,110-82-7,127-19-5
424,123-91-1
425,123-91-1
426,75-05-8
427,108-88-3
428,60-29-7,109-99-9
429,108-88-3,110-82-7
430,109-99-9
431,108-88-3
432,109-99-9
433,64-17-5
434,64-17-5
435,64-17-5
436,64-17-5
437,108-88-3,7732-18-5
438,109-99-9
439,109-99-9
440,108-88-3,110-80-5
441,68-12-2
442,108-88-3
443,109-99-9
444,67-56-1
445,108-88-3,67-56-1
446,108-88-3
447,108-88-3,60-29-7,7732-18-5
448,109-99-9
449,108-88-3,7732-18-5
450,108-88-3
451,108-88-3,7732-18-5
452,109-99-9
453,108-88-3
454,123-91-1
455,123-91-1
456,123-91-1
457,123-91-1
458
459,123-91-1
460,109-99-9,68-12-2
461,110-71-4
462,872-50-4
463,110-71-4,5614-37-9
464,123-91-1
465,108-88-3
466,109-99-9,127-19-5
467,108-20-3,127-19-5
