"CAS_n","Check?","ChemNames","SMILES"
"824395-67-7","NO","(+)-1,2-Bis((2S,5S)-2,5-diphenylphospholano)ethane","C1CC(P(C1C2=CC=CC=C2)CCP3C(CCC3C4=CC=CC=C4)C5=CC=CC=C5)C6=CC=CC=C6"
"166330-10-5","NO","Bis(2-diphenylphosphinophenyl)ether","C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3OC4=CC=CC=C4P(C5=CC=CC=C5)C6=CC=CC=C6"
"795290-34-5","NO","(1S,1'S,2R,2'R)-Duanphos","CC(C)(C)P1CC2=CC=CC=C2C1C3C4=CC=CC=C4CP3C(C)(C)C"
"2378121-39-0","YES",NA,NA
"1890222-59-9","YES",NA,NA
"2720603-09-6","YES",NA,NA
"75-77-4","NO","Chlorotrimethylsilane","C[Si](C)(C)Cl"
"1914931-89-7","YES",NA,NA
"540475-45-4","NO","1,1-Bis((2R,5R)-2,5-dimethylphospholano)ferrocene, min. 97%","[CH3-].[CH3-].CC1CCC(P1C2CCCC2)C.CC1CCC(P1C2CCCC2)C.[Fe+2]"
"23743-26-2","NO","1,2-Bis(dicyclohexylphosphino)ethane","C1CCC(CC1)P(CCP(C2CCCCC2)C3CCCCC3)C4CCCCC4"
"2720603-07-4","YES",NA,NA
"866081-62-1","NO","2,3-Bis(tert-butylmethylphosphino)quinoxaline","CC(C)(C)P(C)C1=NC2=CC=CC=C2N=C1P(C)C(C)(C)C"
"161265-03-8","NO","Xantphos","CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C"
"301847-89-2","NO","(R)-C3-TunePhos","C1COC2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)C5=C(C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)OC1"
"429-41-4","NO","Tetrabutylammonium fluoride","CCCC[N+](CCCC)(CCCC)CCCC.[F-]"
"1973459-26-5","YES",NA,NA
