id,smilesRXN,c1,c2,c3,c4,r1,r2,r3,r4,s1,s2,s3,s4,y1
56,CC(C)CC=C.CC1(C)OBOC1(C)C>>CC(C)CCCB1OC(C)(C)C(C)(C)O1,1600527-17-0,,,,17979-81-6,7782-44-7,,,109-99-9,,,,95
57,CC(C)CC=C.CC1(C)OBOC1(C)C>>CC(C)CCCB1OC(C)(C)C(C)(C)O1,17979-81-6,1600527-17-0,,,7782-44-7,,,,108-88-3,109-99-9,,,91
58,CC(C)CC=C.CC1(C)OBOC1(C)C>>CC(C)CCCB1OC(C)(C)C(C)(C)O1,2222868-47-3,,,,,,,,1076-43-3,,,,89
59,C[Si](C)(C)CC=C.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC[Si](C)(C)C)OC1(C)C,1459797-98-8,,,,,,,,,,,,98
60,C[Si](C)(C)CC=C.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC[Si](C)(C)C)OC1(C)C,1459797-98-8,,,,,,,,,,,,98
61,C[Si](C)(C)CC=C.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC[Si](C)(C)C)OC1(C)C,17979-81-6,1600527-17-0,,,7782-44-7,,,,108-88-3,109-99-9,,,87
62,C[Si](C)(C)CC=C.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC[Si](C)(C)C)OC1(C)C,1600527-17-0,,,,17979-81-6,7782-44-7,,,109-99-9,,,,87
63,C=CC1=CC=CC=C1.[2H]B1OC(C)(C)C(C)(C)O1>>[2H]C(C([2H])C1=CC=CC=C1)B1OC(C)(C)C(C)(C)O1,2173036-40-1,22560-21-0,,,,,,,109-99-9,,,,98
64,CC(=O)CCC=C.CC1(C)OBOC1(C)C>>CC(CCCCB1OC(C)(C)C(C)(C)O1)OB1OC(C)(C)C(C)(C)O1,2173036-40-1,22560-21-0,,,,,,,109-99-9,,,,98
65,CCCCC=C.CC1(C)OBOC1(C)C>>CCCCCCB1OC(C)(C)C(C)(C)O1,2173036-40-1,22560-21-0,,,,,,,109-99-9,,,,98
66,CCCCC=C.CC1(C)OBOC1(C)C>>CCCCCCB1OC(C)(C)C(C)(C)O1,1459797-98-8,,,,7782-44-7,,,,,,,,94
67,CCCCC=C.CC1(C)OBOC1(C)C>>CCCCCCB1OC(C)(C)C(C)(C)O1,1459797-98-8,,,,,,,,60-29-7,,,,92
68,CCCCC=C.CC1(C)OBOC1(C)C>>CCCCCCB1OC(C)(C)C(C)(C)O1,2222868-47-3,,,,,,,,1076-43-3,,,,91
69,C1=CC=C(C=C1)C#CC1=CC=CC=C1.CC1(C)OB(OC1(C)C)C=C>>CC1(C)OB(OC1(C)C)C1CC(=C1C1=CC=CC=C1)C1=CC=CC=C1,79060-88-1,2378121-38-9,,,7440-66-6,60-29-7,,,108-88-3,,,,98
74,C=CCN=CC1=CC=CC=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCCN(CC2=CC=CC=C2)B2OC(C)(C)C(C)(C)O2)OC1(C)C,2222868-47-3,,,,,,,,1076-43-3,,,,98
75,CC(=C)C1=CC=C(C)C=C1.CC1(C)OBOC1(C)C>>C[C@@H](CB1OC(C)(C)C(C)(C)O1)C1=CC=C(C)C=C1,1877348-67-8,,,,7782-44-7,,,,,,,,98
76,CC(=C)C1=CC=C(C)C=C1.CC1(C)OBOC1(C)C>>C[C@@H](CB1OC(C)(C)C(C)(C)O1)C1=CC=C(C)C=C1,1877348-67-8,,,,7782-44-7,,,,109-99-9,,,,98
77,CC(=C)C1=CC=C(C)C=C1.CC1(C)OBOC1(C)C>>C[C@@H](CB1OC(C)(C)C(C)(C)O1)C1=CC=C(C)C=C1,1632280-07-9,,,,17979-81-6,,,,109-99-9,,,,91
78,FC1=CC=C(C=C1)C(F)(F)F.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1(C)OB(OC1(C)C)C1=CC(=CC(B2OC(C)(C)C(C)(C)O2)=C1F)C(F)(F)F,2071741-36-9,,,,,,,,109-99-9,,,,98
79,FC1=CC=C(C=C1)C(F)(F)F.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1(C)OB(OC1(C)C)C1=CC(=CC(B2OC(C)(C)C(C)(C)O2)=C1F)C(F)(F)F,1978314-72-5,,,,,,,,109-99-9,,,,97
80,CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1.CCCC(=C)C1=CC=C2OCOC2=C1>>CCC[C@@H](CB1OC(C)(C)C(C)(C)O1)C1=CC=C2OCOC2=C1,1632299-28-5,,,,,,,,109-99-9,,,,98
81,C1CC2CC1C=C2.CC1(C)OBOC1(C)C>>CC1(C)OB(OC1(C)C)C1CC2CCC1C2,865-48-5,2564747-02-8,,,,,,,109-99-9,,,,98
82,CC1(C)OBOC1(C)C.C=CCOC1(CCCC1)C#CC1=CC=CC=C1>>CC1(C)OB(CC2COC3(CCCC3)\C2=C/C2=CC=CC=C2)OC1(C)C,14024-48-7,27721-02-4,,,,,,,109-99-9,,,,97
83,CC1(C)OBOC1(C)C.C=CCOC(C#CC1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1>>CC1(C)OB(CC2COC(\C2=C/C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)OC1(C)C,14024-48-7,27721-02-4,,,,,,,109-99-9,,,,97
84,CC1(C)OBOC1(C)C.C=CCOC1(CCCCC1)C#CC1=CC=CC=C1>>CC1(C)OB(CC2COC3(CCCCC3)\C2=C/C2=CC=CC=C2)OC1(C)C,14024-48-7,27721-02-4,,,,,,,109-99-9,,,,97
85,COC1=CC=C2C(CC=C2C2=CC=CC=C2)=C1.CC1(C)OBOC1(C)C>>[H][C@@]1(C[C@@]([H])(C2=CC=C(OC)C=C12)C1=CC=CC=C1)B1OC(C)(C)C(C)(C)O1,1641581-58-9,,,,7782-44-7,,,,108-88-3,,,,97
86,COC1=CC=C2C(C)=CCC2=C1.CC1(C)OBOC1(C)C>>[H][C@@]1(C[C@H](C)C2=CC=C(OC)C=C12)B1OC(C)(C)C(C)(C)O1,1641581-58-9,,,,7782-44-7,,,,108-88-3,,,,97
87,CC1=CC=CC(C=C)=C1.CC1(C)OBOC1(C)C>>CC1=CC=CC(CCB2OC(C)(C)C(C)(C)O2)=C1,1600527-17-0,,,,17979-81-6,7782-44-7,,,109-99-9,,,,97
88,CC1=CC=CC(C=C)=C1.CC1(C)OBOC1(C)C>>CC1=CC=CC(CCB2OC(C)(C)C(C)(C)O2)=C1,17979-81-6,1600527-17-0,,,7782-44-7,,,,108-88-3,109-99-9,,,97
89,CC1=CC=CC(C=C)=C1.CC1(C)OBOC1(C)C>>CC1=CC=CC(CCB2OC(C)(C)C(C)(C)O2)=C1,17979-81-6,1600527-17-0,,,,,,,109-99-9,,,,97
90,C=CCC1CCCCC1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2CCCCC2)OC1(C)C,17979-81-6,1600527-17-0,,,,,,,109-99-9,,,,97
91,FC1=CC=CC(C=C)=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2=CC(F)=CC=C2)OC1(C)C,1600527-17-0,,,,17979-81-6,7782-44-7,,,109-99-9,,,,97
92,FC1=CC=CC(C=C)=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2=CC(F)=CC=C2)OC1(C)C,17979-81-6,1600527-17-0,,,7782-44-7,,,,108-88-3,109-99-9,,,89
93,FC1=CC=CC(C=C)=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2=CC(F)=CC=C2)OC1(C)C,17979-81-6,1600527-17-0,,,,,,,109-99-9,,,,89
94,FC1=CC=C(C=C)C=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2=CC=C(F)C=C2)OC1(C)C,1600527-17-0,,,,17979-81-6,7782-44-7,,,109-99-9,,,,97
95,FC1=CC=C(C=C)C=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2=CC=C(F)C=C2)OC1(C)C,17979-81-6,1600527-17-0,,,,,,,109-99-9,,,,97
96,FC1=CC=C(C=C)C=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2=CC=C(F)C=C2)OC1(C)C,17979-81-6,1600527-17-0,,,7782-44-7,,,,108-88-3,109-99-9,,,97
97,FC1=CC=C(C=C)C=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2=CC=C(F)C=C2)OC1(C)C,2173036-40-1,22560-21-0,,,,,,,109-99-9,,,,92
98,CSC1=CC=C(C=C)C=C1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CSC1=CC=C(CC(B2OC(C)(C)C(C)(C)O2)(B2OC(C)(C)C(C)(C)O2)B2OC(C)(C)C(C)(C)O2)C=C1,17979-81-6,1600527-14-7,,,7782-44-7,,,,109-66-0,109-99-9,,,97
99,CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1.CC(C)(C)OC1=CC=C(C=C)C=C1>>CC(C)(C)OC1=CC=C(CC(B2OC(C)(C)C(C)(C)O2)(B2OC(C)(C)C(C)(C)O2)B2OC(C)(C)C(C)(C)O2)C=C1,17979-81-6,1600527-14-7,,,7782-44-7,,,,109-66-0,109-99-9,,,97
100,CC1(C)OBOC1(C)C.C=C(C1CCCCC1)C1CCCCC1>>CC1(C)OB(CC(C2CCCCC2)C2CCCCC2)OC1(C)C,1641581-60-3,,,,,,,,1634-04-4,,,,97
101,C=CCC1=CC=CC=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCCC2=CC=CC=C2)OC1(C)C,2173036-40-1,22560-21-0,,,,,,,109-99-9,,,,97
102,C=CCC1=CC=CC=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCCC2=CC=CC=C2)OC1(C)C,17979-81-6,1600527-17-0,,,7782-44-7,,,,108-88-3,109-99-9,,,86
