"id","smilesRXN","c1","c2","c3","c4","r1","r2","r3","r4","s1","s2","s3","s4","y1"
27,"CCCCCCC=C.CC1(C)OBOC1(C)C>>CCCCCCCCB1OC(C)(C)C(C)(C)O1","C=1C=CC(=CC1)[P]2(C=3C=CC=CC3)C=4C=CC=CC4[NH-][Co+2]56782C=9(C)C8(C)=C7(C)[C-]6(C)C95C",NA,NA,"",NA,NA,NA,NA,"C1=CC=CC=C1",NA,NA,NA,95
28,"CCCCCCC=C.CC1(C)OBOC1(C)C>>CCCCCCCCB1OC(C)(C)C(C)(C)O1","C=1C=C(C(=C(C1)C(C)C)[N]2=C(C(=[N](C=3C(=CC=CC3C(C)C)C(C)C)[Co+]245[CH2]=[CH]5[CH2-]4)C)C)C(C)C",NA,NA,"","C1=CC=NC=C1",NA,NA,NA,"CC(C)(C)OC",NA,NA,NA,91
29,"C=CC1CCCCC1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2CCCCC2)OC1(C)C","Cl[P]12N3C=4C=CC=CC4[P](C=5C=CC=CC5)(C=6C=CC=CC6)[Co+2]1([Cl-])([Cl-])[P](C=7C=CC=CC7)(C=8C=CC=CC8)C=9C=CC=CC9N2CC3","[B-](CC)(CC)CC.[K+]",NA,"",NA,NA,NA,NA,"C1CCOC1",NA,NA,NA,99
30,"C=CC1CCCCC1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2CCCCC2)OC1(C)C","[B-](CC)(CC)CC.[Na+]","[Cl-][Co+2]12([Cl-])[N]=3C=CC=CC3C4=CC=CC(=[N]41)C[P]2(C(C)C)C(C)C",NA,"","O=O",NA,NA,NA,"CC1=CC=CC=C1","C1CCOC1",NA,NA,97
31,"C=CC1CCCCC1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2CCCCC2)OC1(C)C","[Cl-][Co+2]12([Cl-])[N]=3C=CC=CC3C4=CC=CC(=[N]41)C[P]2(C(C)C)C(C)C",NA,NA,"","[B-](CC)(CC)CC.[Na+]","O=O",NA,NA,"C1CCOC1",NA,NA,NA,97
32,"C=CC1CCCCC1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2CCCCC2)OC1(C)C","C=1C=CC(=CC1)[P]2(C=3C=CC=CC3)C=4C=CC=CC4[NH-][Co+2]56782C=9(C)C8(C)=C7(C)[C-]6(C)C95C",NA,NA,"",NA,NA,NA,NA,"C1=CC=CC=C1",NA,NA,NA,90
33,"CC(=O)CCC=C.CC1(C)OBOC1(C)C>>CC(=O)CCCCB1OC(C)(C)C(C)(C)O1","N#[N][Co+5]=1=2[C-]=3C(=CC=CC3N4C=5C=CC=CC5N(C=6C(=CC=CC6C(C)C)C(C)C)[C-2]41)N7C=8C=CC=CC8N(C=9C(=CC=CC9C(C)C)C(C)C)[C-2]72",NA,NA,"",NA,NA,NA,NA,"C1=CC=CC=C1",NA,NA,NA,99
34,"C=CN1C2=CC=CC=C2C2=CC=CC=C12.CC1(C)OBOC1(C)C>>CC1(C)OB(CCN2C3=CC=CC=C3C3=CC=CC=C23)OC1(C)C","N#[N][Co+5]=1=2[C-]=3C(=CC=CC3N4C=5C=CC=CC5N(C=6C(=CC=CC6C(C)C)C(C)C)[C-2]41)N7C=8C=CC=CC8N(C=9C(=CC=CC9C(C)C)C(C)C)[C-2]72",NA,NA,"",NA,NA,NA,NA,"C1=CC=CC=C1",NA,NA,NA,99
35,"C=CN1C2=CC=CC=C2C2=CC=CC=C12.CC1(C)OBOC1(C)C>>CC1(C)OB(CCN2C3=CC=CC=C3C3=CC=CC=C23)OC1(C)C","[B-](CC)(CC)CC.[Na+]","[Cl-][Co+2]12([Cl-])[N]=3C=CC=CC3C4=CC=CC(=[N]41)C[P]2(C(C)C)C(C)C",NA,"","O=O",NA,NA,NA,"CC1=CC=CC=C1","C1CCOC1",NA,NA,92
36,"C=CN1C2=CC=CC=C2C2=CC=CC=C12.CC1(C)OBOC1(C)C>>CC1(C)OB(CCN2C3=CC=CC=C3C3=CC=CC=C23)OC1(C)C","[Cl-][Co+2]12([Cl-])[N]=3C=CC=CC3C4=CC=CC(=[N]41)C[P]2(C(C)C)C(C)C",NA,NA,"","[B-](CC)(CC)CC.[Na+]","O=O",NA,NA,"C1CCOC1",NA,NA,NA,92
