id,smilesRXN,c1,c2,c3,c4,c5,r1,r2,r3,r4,r5,r6,r7,s1,s2,s3,s4,s5,y1
2465,CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1.O=C(C1CC1)C1=CC=CO1>>CC1(C)OB(CCCC(=O)C2=CC=CO2)OC1(C)C,1295-35-8,141556-45-8,,,,865-33-8,7732-18-5,,,,,,108-88-3,67-56-1,,,,54
2466,C1CC1=C(C1=CC=CC=C1)C1=CC=CC=C1.CC1(C)OB(OC1(C)C)C=C>>CC1(C)OB(OC1(C)C)C1CCC(C1)=C(C1=CC=CC=C1)C1=CC=CC=C1,1295-35-8,,,,,101-02-0,,,,,,,108-88-3,,,,,54
2467,C#CCCCN1C=CC2=CC=CC=C12.COB1OC(C)(C)C(C)(C)O1>>CC1(C)OB(OC1(C)C)C(=C)CCCN1C=CC2=CC=CC=C12,15629-92-2,,,,,1191-15-7,7732-18-5,,,,,,109-99-9,,,,,54
2468,CC1(C)OB(CC\C=C\CCC2=CC=CC=C2)OC1(C)C.OCC1=CC=C(I)C=C1>>CC1(C)OB(OC1(C)C)C(CCCCCC1=CC=CC=C1)C1=CC=C(CO)C=C1,1894189-67-3,,,,,37342-97-5,,,,,,,109-99-9,,,,,54
2469,ClC1=CC=CS1.CC1(C)COB(OC1)B1OCC(C)(C)CO1>>CC1(C)COB(OC1)C1=CC=CS1,1962167-57-2,,,,,865-33-8,7732-18-5,,,,,,123-91-1,,,,,54
2470,C=CC1=CC=CC=C1.CC1(C)OB(OC1(C)C)C1=CC=C(O[S](=O)(=O)C(F)(F)F)C=C1>>C[C@@H](C1=CC=CC=C1)C1=CC=C(C=C1)B1OC(C)(C)C(C)(C)O1,29046-78-4,2662585-14-8,,,,67-56-1,7778-53-2,9004-73-3,7732-18-5,,,,60-29-7,108-88-3,,,,53
2471,CCC(Cl)B1OC(C)(C)C(C)(C)O1.FC(F)(F)C(=C)C1=CC2=CC=CC=C2O1>>CCC(CC(=C(F)F)C1=CC2=CC=CC=C2O1)B1OC(C)(C)C(C)(C)O1,28923-39-9,36697-72-0,,,,7440-66-6,7447-41-8,,,,,,872-50-4,,,,,53
2473,C[N]12CC(=O)[O-][B+3]1([O-]C(=O)C2)[C-]1=CC=C(Br)C=C1.[H+].CC(C)NC(C)C.CC(=O)OCC[CH2-][Si+4]123[O-]C4=CC=CC=C4[O-]1.[O-]2C1=CC=CC=C1[O-]3>>CC(=O)OCCCC1=CC=[C-](C=C1)[B+3]12[O-]C(=O)C[N]1(C)CC(=O)[O-]2,29046-78-4,72914-19-3,2064225-11-0,,,,,,,,,,109-99-9,68-12-2,,,,53
2476,O=C\C=C\C1=CC=CC=C1.C[SiH](C)[C]1234[BH]567[BH]89%10[BH]%11%12%13[BH]585[BH]%118%11[BH]%12%12%14[BH]9%139[BH]16%10[BH]2%129[C]38%14([SiH](C)C)[BH]475%11>>C[Si]1(C)OC(C=CC2=CC=CC=C2)[C]2345[BH]678[BH]9%10%11[BH]%12%13%14[BH]696[BH]%129%12[BH]%13%13%15[BH]%10%14%10[BH]27%11[BH]3%13%10[C]49%15(C(O[Si](C)(C)O1)C=CC1=CC=CC=C1)[BH]586%12,51320-65-1,,,,,,,,,,,,108-88-3,,,,,53
2477,CCCC\C=C\B1OC(C)(C)C(C)(C)O1.CON(C)C(=O)CCCCCBr>>CCCCCC(CCCCCC(=O)N(C)OC)B1OC(C)(C)C(C)(C)O1,7681-11-0,312696-09-6,665004-47-7,,,7789-23-3,2031-62-1,,,,,,127-19-5,,,,,53
2478,CCCC\C=C\B1OC(C)(C)C(C)(C)O1.IC1CCCCCCC1>>CCCCCC(B1OC(C)(C)C(C)(C)O1)C1CCCCCCC1,312696-09-6,665004-47-7,,,,7789-23-3,2031-62-1,,,,,,127-19-5,,,,,53
2479,CCCC\C=C\B1OC(C)(C)C(C)(C)O1.CC(=O)OCCCCCBr>>CCCCCC(CCCCCOC(C)=O)B1OC(C)(C)C(C)(C)O1,7681-11-0,312696-09-6,665004-47-7,,,7789-23-3,2031-62-1,,,,,,127-19-5,,,,,53
2480,CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1.CCCCOCC(C)Br>>CCCCOCC(C)B1OC(C)(C)C(C)(C)O1,115091-29-7,312696-09-6,,,,78-83-1,865-47-4,,,,,,108-20-3,,,,,53
2482,ICCCC1=CC=CC=C1.[Li+].CC1(C)[O-][B+3]([O-]C1(C)C)([CH-]=C)[C-]1=CC=C(C=C1)C(F)(F)F>>CC1(C)OB(OC1(C)C)[C@H](CCCCC1=CC=CC=C1)C1=CC=C(C=C1)C(F)(F)F,3264-82-2,2212688-94-1,,,,,,,,,,,109-99-9,,,,,53
2483,ICCCC1=CC=CC=C1.[Li+].CC1(C)[O-][B+3]([O-]C1(C)C)([CH-]=C)[C-]1=CC=C2OCOC2=C1>>CC1(C)OB(OC1(C)C)[C@H](CCCCC1=CC=CC=C1)C1=CC=C2OCOC2=C1,3264-82-2,2212688-94-1,,,,,,,,,,,109-99-9,,,,,53
2485,CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1.CCOC(=O)CCC(C)(C)Br>>CCOC(=O)CCC(C)(C)B1OC(C)(C)C(C)(C)O1,131864-67-0,312696-09-6,,,,917-58-8,,,,,,,108-20-3,127-19-5,,,,53
2489,CC1(C)COB(OC1)B1OCC(C)(C)CO1.C1CN(CCO1)C1=C2C=CC=CC2=C2C=CC=CC2=C1>>CC1(C)COB(OC1)C1=C2C=CC=CC2=C2C=CC=CC2=C1,1295-35-8,848085-28-9,,,,532-32-1,,,,,,,108-88-3,,,,,53
2490,OC1=CC=CC(I)=C1.CCCCCCC(Br)B1OC(C)(C)C(C)(C)O1>>CCCCCCC(B1OC(C)(C)C(C)(C)O1)C1=CC(O)=CC=C1,1295-35-8,17217-57-1,,,,7440-66-6,,,,,,,109-99-9,7226-23-5,,,,53
2491,COC1=CC(C=C)=CC(OC)=C1OC.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>COC1=CC(=CC(OC)=C1OC)[C@@H](C)B1OC(C)(C)C(C)(C)O1,1295-35-8,2185014-88-2,,,,67-56-1,373-68-2,,,,,,108-88-3,,,,,53
2492,CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1.[O-][S](=O)(=O)C(F)(F)F.C[N+](C)(C)C1=CC(=CC=C1)C(O)=O>>CC1(C)OB(OC1(C)C)C1=CC(=CC=C1)C(O)=O,1295-35-8,181422-72-0,,,,865-47-4,,,,,,,108-88-3,110-80-5,,,,53
2493,CC1(C)OB(OC1(C)C)C1=CC=C(Br)C=C1.C1C[O]2CC[O]3CC[O]4CC[O]5CC[O]6CC[O]1[K+]23456.CC(=O)OCC[CH2-][Si+4]123[O-]C4=CC=CC=C4[O-]1.[O-]2C1=CC=CC=C1[O-]3>>CC(=O)OCCCC1=CC=C(C=C1)B1OC(C)(C)C(C)(C)O1,1295-35-8,72914-19-3,870987-63-6,,,,,,,,,,68-12-2,,,,,53
2494,FC1=C(C=CC=C1)C1=CC=CC=C1.CC1(C)COB(OC1)B1OCC(C)(C)CO1>>CC1(C)COB(OC1)C1=C(C=CC=C1)C1=CC=CC=C1,1295-35-8,2622-14-2,,,,139-02-6,,,,,,,109-99-9,,,,,53
2495,CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1.CC#CCN(CC=C)C(=O)C1=CC=CC=C1>>C\C(B1OC(C)(C)C(C)(C)O1)=C1/CN(CC1CB1OC(C)(C)C(C)(C)O1)C(=O)C1=CC=CC=C1,1295-35-8,158589-14-1,,,,,,,,,,,108-20-3,,,,,53
2496,CC(C)(C)Br.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC(C)(CB1OC(C)(C)C(C)(C)O1)B1OC(C)(C)C(C)(C)O1,1295-35-8,940934-47-4,,,,67-56-1,96-47-9,121-44-8,,,,,96-47-9,108-88-3,,,,53
2497,CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1.C[C@H](OC(C)=O)\C=C\C1=CC=CC=C1>>C[C@H](\C=C\C1=CC=CC=C1)B1OC(C)(C)C(C)(C)O1,1295-35-8,7650-91-1,,,,7778-53-2,,,,,,,75-05-8,,,,,53
2498,CC1(C)COB(OC1)B1OCC(C)(C)CO1.CN(C)C(=O)OC1=CC=C2N(C)C=CC2=C1>>CN1C=CC2=CC(=CC=C12)B1OCC(C)(C)CO1,19999-87-2,,,,,7778-53-2,12125-02-9,,,,,,108-88-3,110-71-4,7732-18-5,,,53
2499,CC1(C)OB(CCl)OC1(C)C.ClC1=CC=C(C=C1)C(=C)C[S](=O)(=O)C1=CC=CC=C1>>CC1(C)OB(CCC(=C)C2=CC=C(Cl)C=C2)OC1(C)C,4411-80-7,19999-87-2,,,,7440-66-6,7447-41-8,,,,,,109-99-9,,,,,53
2500,CC(C)CCC1(CCC(C)C)C2=CC=CC=C2C2=CC=C(C=C12)C1=CC=C2C3=CC=C(C=C3C(C)(C)C2=C1)C1=CC=C2C3=CC=C(Br)C=C3C(CCC(C)C)(CCC(C)C)C2=C1.CC1(C)OBOC1(C)C>>CC(C)CCC1(CCC(C)C)C2=CC=CC=C2C2=CC=C(C=C12)C1=CC=C2C3=CC=C(C=C3C(C)(C)C2=C1)C1=CC=C2C3=CC=C(C=C3C(CCC(C)C)(CCC(C)C)C2=C1)B1OC(C)(C)C(C)(C)O1,15629-92-2,,,,,121-44-8,,,,,,,108-88-3,,,,,53
2501,CC1(C)OBOC1(C)C.CC1(C)C2=CC=CC=C2C2=CC=C(C=C12)C1=CC(Br)=CC(Br)=C1>>CC1(C)OB(OC1(C)C)C1=CC(=CC(=C1)B1OC(C)(C)C(C)(C)O1)C1=CC=C2C3=CC=CC=C3C(C)(C)C2=C1,15629-92-2,,,,,121-44-8,,,,,,,108-88-3,,,,,53
2502,CC1(C)OBOC1(C)C.IC1=CC=C(C=C1)N1C(=O)C2=CC=C3C(=O)N(C4=CC=C(I)C=C4)C(=O)C4=CC=C(C1=O)C2=C34>>CC1(C)OB(OC1(C)C)C1=CC=C(C=C1)N1C(=O)C2=CC=C3C(=O)N(C4=CC=C(C=C4)B4OC(C)(C)C(C)(C)O4)C(=O)C4=CC=C(C1=O)C2=C34,15629-92-2,,,,,7087-68-5,,,,,,,108-88-3,,,,,53
