,IncNodePurity,Features
ADD..B...CC..CC.CC..Na...O.O,467.25065182931,ADD..B...CC..CC.CC..Na...O.O
CAT_Chi4n,464.569340391453,CAT_Chi4n
CAT_HeavyAtomCount,460.504808737447,CAT_HeavyAtomCount
CAT_SlogP_VSA2,449.401146239542,CAT_SlogP_VSA2
PRO_NOCount,448.446652612691,PRO_NOCount
RCTB_PEOE_VSA10,440.454685742363,RCTB_PEOE_VSA10
PRO_101,440.032459147181,PRO_101
RCTB_SlogP_VSA2,437.785396148341,RCTB_SlogP_VSA2
CAT_NumAromaticRings,436.605299441224,CAT_NumAromaticRings
PRO_NumHAcceptors,435.9929090382,PRO_NumHAcceptors
PRO_PEOE_VSA14,430.98359184389,PRO_PEOE_VSA14
PRO_172,428.394396408141,PRO_172
CAT_VSA_EState5,428.267892826454,CAT_VSA_EState5
CAT_VSA_EState9,425.784676430224,CAT_VSA_EState9
CAT_VSA_EState3,422.140940340269,CAT_VSA_EState3
CAT_PEOE_VSA1,419.099146753845,CAT_PEOE_VSA1
RCTB_HeavyAtomCount,416.646010564858,RCTB_HeavyAtomCount
CAT_SlogP_VSA3,412.992118025918,CAT_SlogP_VSA3
CAT_MinPartialCharge,409.546417834127,CAT_MinPartialCharge
CAT_EState_VSA9,409.030396017442,CAT_EState_VSA9
PRO_BCUT2D_MWLOW,406.082889990898,PRO_BCUT2D_MWLOW
CAT_FpDensityMorgan1,405.228913524242,CAT_FpDensityMorgan1
RCTB_NumRotatableBonds,403.603137483278,RCTB_NumRotatableBonds
CAT_116,403.215492877031,CAT_116
CAT_BalabanJ,381.275149533553,CAT_BalabanJ
RCTB_SMR_VSA5,380.488452366519,RCTB_SMR_VSA5
CAT_NumHeteroatoms,377.657514497997,CAT_NumHeteroatoms
CAT_212,377.17063180705,CAT_212
PRO_EState_VSA10,375.715221298779,PRO_EState_VSA10
CAT_SlogP_VSA1,373.573142892795,CAT_SlogP_VSA1
CAT_NumRotatableBonds,373.354867593943,CAT_NumRotatableBonds
CAT_MinAbsPartialCharge,371.349869650863,CAT_MinAbsPartialCharge
PRO_SlogP_VSA4,371.272813272566,PRO_SlogP_VSA4
CAT_NumValenceElectrons,368.59770923658,CAT_NumValenceElectrons
