,IncNodePurity,Features
RCTB_SlogP_VSA6,1189.95767111319,RCTB_SlogP_VSA6
PRO_Chi0,1176.21024551144,PRO_Chi0
PRO_BertzCT,1173.26774869535,PRO_BertzCT
RCTA_MaxPartialCharge,1172.40215914496,RCTA_MaxPartialCharge
PRO_MolWt,1150.8771141087,PRO_MolWt
RCTB_FractionCSP3,1135.63069698086,RCTB_FractionCSP3
PRO_Chi1,1128.45413302815,PRO_Chi1
RCTA_SMR_VSA1,1110.90822431264,RCTA_SMR_VSA1
PRO_BCUT2D_MRLOW,1107.86450774865,PRO_BCUT2D_MRLOW
PRO_HeavyAtomMolWt,1107.84062052421,PRO_HeavyAtomMolWt
PRO_SlogP_VSA6,1104.68082850907,PRO_SlogP_VSA6
CAT_MaxAbsEStateIndex,1085.451529846,CAT_MaxAbsEStateIndex
PRO_NumRotatableBonds,1070.10311218727,PRO_NumRotatableBonds
PRO_MolMR,1068.50809946061,PRO_MolMR
RCTA_Chi0,1062.35722141144,RCTA_Chi0
PRO_NumSaturatedRings,1056.87490075751,PRO_NumSaturatedRings
CAT_qed,1052.86181141243,CAT_qed
PRO_SlogP_VSA1,1040.21988825805,PRO_SlogP_VSA1
PRO_Chi1v,1031.1507975764,PRO_Chi1v
PRO_BCUT2D_LOGPLOW,1029.18083260349,PRO_BCUT2D_LOGPLOW
RCTB_SMR_VSA5,1021.16117822682,RCTB_SMR_VSA5
RCTB_PEOE_VSA5,1019.63490358779,RCTB_PEOE_VSA5
RCTB_PEOE_VSA10,1003.7018673015,RCTB_PEOE_VSA10
RCTB_EState_VSA8,1002.15678248286,RCTB_EState_VSA8
RCTA_FpDensityMorgan3,982.55098760517,RCTA_FpDensityMorgan3
RCTA_EState_VSA9,976.112887958977,RCTA_EState_VSA9
PRO_LabuteASA,967.912145637598,PRO_LabuteASA
CAT_Kappa3,940.919213864572,CAT_Kappa3
PRO_Chi0v,928.213217398144,PRO_Chi0v
CAT_Chi4n,919.476461218563,CAT_Chi4n
RCTB_TPSA,918.344720998448,RCTB_TPSA
PRO_TPSA,909.804042440505,PRO_TPSA
RCTB_EState_VSA10,902.020251897993,RCTB_EState_VSA10
PRO_PEOE_VSA10,900.797963346623,PRO_PEOE_VSA10
RCTB_HeavyAtomCount,900.474447750827,RCTB_HeavyAtomCount
RCTB_VSA_EState9,882.899047403432,RCTB_VSA_EState9
RCTA_Chi1,878.966912330001,RCTA_Chi1
RCTA_MolMR,859.959172919629,RCTA_MolMR
PRO_NumHeteroatoms,851.598077589983,PRO_NumHeteroatoms
RCTB_NumHeteroatoms,850.710573990081,RCTB_NumHeteroatoms
PRO_SlogP_VSA3,850.14821822641,PRO_SlogP_VSA3
RCTA_Chi3v,844.390689818592,RCTA_Chi3v
RCTA_Chi4v,833.048801978151,RCTA_Chi4v
PRO_fr_allylic_oxid,825.170675623299,PRO_fr_allylic_oxid
RCTA_qed,821.436071299722,RCTA_qed
PRO_NumValenceElectrons,820.911800240683,PRO_NumValenceElectrons
RCTA_MaxAbsPartialCharge,817.08929310517,RCTA_MaxAbsPartialCharge
RCTA_Chi2n,804.60632924248,RCTA_Chi2n
RCTB_NumRotatableBonds,801.54613783466,RCTB_NumRotatableBonds
